Well,ZONE,TVDSS_THK,VSH,PHIE,SWE
FH-44,Ahmadi,0.5,0.018,0.091,0.476
FH-44,MB,12.5,0.007,0.117,0.15
FH-44,MB2,32.4,0.019,0.113,0.239
FH-44,MB3,29.8,0.013,0.115,0.171
FH-44,MC,20.3,0.015,0.1,0.331
FH-44,MD,5.1,0.006,0.119,0.225
FH-44,ME,26.7,0.009,0.107,0.441
FH-44,Maudud,4.2,0.012,0.191,0.263
FH-44,Ratawi,2,0.038,0.119,0.062
FH-44,Sadi,1.4,0.037,0.109,0.292
FH-44,Sulaiy,2.3,0.018,0.094,0.488
FH-44,YA1.2,8.1,0.017,0.157,0.213
FH-44,YA1.3,4.2,0.014,0.145,0.368
FH-44,YA2,3.2,0.004,0.122,0.325
FH-44,YA2.2,3.4,0.003,0.113,0.275
FH-44,YA2.3,1.6,0.005,0.093,0.383
FH-44,YA3,14,0.005,0.117,0.364
FH-44,YA3.2,8.5,0.006,0.116,0.354
FH-44,YA4,12.9,0.015,0.13,0.317
FH-44,YB,12.3,0.012,0.175,0.393
FH-44,YB2,6.2,0.011,0.124,0.272
FH-44,YB2.2,1.9,0.002,0.099,0.312
FH-44,YC,23.1,0.004,0.107,0.428
FH-44,YC2,2.4,0.007,0.104,0.361
FH-44,YC3,3.6,0.013,0.104,0.288
FH-44,YD,36.1,0.003,0.104,0.357
FH-44,YD2,49.6,0.004,0.118,0.417
FH-44,Yamama,1.2,0.007,0.094,0.303
FH-44,Zubair 2,0.8,0.018,0.122,0.357
FH-44,Zubair_F.1,2.5,0.167,0.153,0.173
FH-44,Zubair_F.2,8.6,0.09,0.189,0.23
FH-45,MB,43.9,0.022,0.108,0.266
FH-45,MC,13.2,0.019,0.111,0.278
FH-45,MD,39.1,0.008,0.136,0.278
FH-45,MD2,12.5,0.009,0.14,0.322
FH-45,ME,15,0.022,0.134,0.329
FH-45,Ratawi,1.9,0.052,0.09,0.07
FH-45,YA1.2,6.3,0.019,0.17,0.136
FH-45,YA2,2.8,0.01,0.082,0.339
FH-45,YA2.2,1.5,0.024,0.09,0.439
FH-45,YA3,14.7,0.003,0.111,0.36
FH-45,YA3.2,1.3,0.021,0.089,0.178
FH-45,YA4,8.5,0.016,0.119,0.297
FH-45,YB2,5.6,0.012,0.109,0.261
FH-45,YC,4,0.005,0.092,0.422
FH-45,YC3,2.5,0.003,0.088,0.312
FH-45,YD,22.9,0.005,0.09,0.348
FH-45,YD2,17.2,0.004,0.112,0.495
FH-45,Yamama,3.2,0.029,0.14,0.22
FH-45,Zubair_2,0.5,0.194,0.116,0.28
FH-45,Zubair_F.2,7.2,0.035,0.176,0.134
